tanggal,harga
2020-01-01,34333.33
2020-01-02,36333.33
2020-01-03,35000.0
2020-01-04,35000.0
2020-01-05,35666.67
2020-01-06,40333.33
2020-01-07,47666.67
2020-01-08,48000.0
2020-01-09,48000.0
2020-01-10,48000.0
2020-01-11,47666.67
2020-01-12,47666.67
2020-01-13,56333.33
2020-01-14,55000.0
2020-01-15,58000.0
2020-01-16,58666.67
2020-01-17,58333.33
2020-01-18,58666.67
2020-01-19,58666.67
2020-01-20,59000.0
2020-01-21,59000.0
2020-01-22,65666.67
2020-01-23,69666.67
2020-01-24,71666.67
2020-01-25,71666.67
2020-01-26,61666.67
2020-01-27,71666.67
2020-01-28,61666.67
2020-01-29,61666.67
2020-01-30,61666.67
2020-01-31,61666.67
2020-02-01,64000.0
2020-02-02,64000.0
2020-02-03,63666.67
2020-02-04,63000.0
2020-02-05,62333.33
2020-02-06,65000.0
2020-02-07,64000.0
2020-02-08,64000.0
2020-02-09,64000.0
2020-02-10,58333.33
2020-02-11,58333.33
2020-02-12,56000.0
2020-02-13,53333.33
2020-02-14,46666.67
2020-02-15,43333.33
2020-02-16,43000.0
2020-02-17,45000.0
2020-02-18,48333.33
2020-02-19,49000.0
2020-02-20,55000.0
2020-02-21,55666.67
2020-02-22,58333.33
2020-02-23,58333.33
2020-02-24,58666.67
2020-02-25,56000.0
2020-02-26,55000.0
2020-02-27,55000.0
2020-02-28,50000.0
2020-02-29,40666.67
2020-03-01,41333.33
2020-03-02,39000.0
2020-03-03,39000.0
2020-03-04,34000.0
2020-03-05,33333.33
2020-03-06,33333.33
2020-03-07,33333.33
2020-03-08,33333.33
2020-03-09,34666.67
2020-03-10,34666.67
2020-03-11,34666.67
2020-03-12,34666.67
2020-03-13,34666.67
2020-03-14,34666.67
2020-03-15,34666.67
2020-03-16,34666.67
2020-03-17,30333.33
2020-03-18,29000.0
2020-03-19,27666.67
2020-03-20,27666.67
2020-03-21,27666.67
2020-03-22,27666.67
2020-03-23,27666.67
2020-03-24,27333.33
2020-03-25,27333.33
2020-03-26,26000.0
2020-03-27,23000.0
2020-03-28,22666.67
2020-03-29,21666.67
2020-03-30,21000.0
2020-03-31,21333.33
2020-04-01,21333.33
2020-04-02,20000.0
2020-04-03,20333.33
2020-04-04,18666.67
2020-04-05,18666.67
2020-04-06,19333.33
2020-04-07,19333.33
2020-04-08,19333.33
2020-04-09,19333.33
2020-04-10,19333.33
2020-04-11,20666.67
2020-04-12,20666.67
2020-04-13,18000.0
2020-04-14,18333.33
2020-04-15,17000.0
2020-04-16,18000.0
2020-04-17,19333.33
2020-04-18,17666.67
2020-04-19,17666.67
2020-04-20,16000.0
2020-04-21,19333.33
2020-04-22,19333.33
2020-04-23,18333.33
2020-04-24,18333.33
2020-04-25,17833.33
2020-04-26,20000.0
2020-04-27,18666.67
2020-04-28,20000.0
2020-04-29,16000.0
2020-04-30,15000.0
2020-05-01,17000.0
2020-05-02,14666.67
2020-05-03,15000.0
2020-05-04,15000.0
2020-05-05,14333.33
2020-05-06,15666.67
2020-05-07,14000.0
2020-05-08,13000.0
2020-05-09,13000.0
2020-05-10,13000.0
2020-05-11,12666.67
2020-05-12,12666.67
2020-05-13,14000.0
2020-05-14,14000.0
2020-05-15,14000.0
2020-05-16,14333.33
2020-05-17,14333.33
2020-05-18,14666.67
2020-05-19,18000.0
2020-05-20,17333.33
2020-05-21,17333.33
2020-05-22,17666.67
2020-05-23,19666.67
2020-05-24,19238.1
2020-05-25,18809.52
2020-05-26,18380.95
2020-05-27,17952.38
2020-05-28,17523.81
2020-05-29,17095.24
2020-05-30,16666.67
2020-05-31,17333.33
2020-06-01,12333.33
2020-06-02,13000.0
2020-06-03,13333.33
2020-06-04,13666.67
2020-06-05,13000.0
2020-06-06,12666.67
2020-06-07,12666.67
2020-06-08,12666.67
2020-06-09,11333.33
2020-06-10,11666.67
2020-06-11,12000.0
2020-06-12,12333.33
2020-06-13,12500.0
2020-06-14,12500.0
2020-06-15,13500.0
2020-06-16,15666.67
2020-06-17,16000.0
2020-06-18,17000.0
2020-06-19,17000.0
2020-06-20,17000.0
2020-06-21,17000.0
2020-06-22,17000.0
2020-06-23,16666.67
2020-06-24,16666.67
2020-06-25,17333.33
2020-06-26,17333.33
2020-06-27,17333.33
2020-06-28,18000.0
2020-06-29,18666.67
2020-06-30,17333.33
2020-07-01,17000.0
2020-07-02,17000.0
2020-07-03,17666.67
2020-07-04,17666.67
2020-07-05,16666.67
2020-07-06,18000.0
2020-07-07,18000.0
2020-07-08,17666.67
2020-07-09,18000.0
2020-07-10,18000.0
2020-07-11,18000.0
2020-07-12,18000.0
2020-07-13,18000.0
2020-07-14,17333.33
2020-07-15,16666.67
2020-07-16,16666.67
2020-07-17,16666.67
2020-07-18,16666.67
2020-07-19,16666.67
2020-07-20,16333.33
2020-07-21,16333.33
2020-07-22,18000.0
2020-07-23,16000.0
2020-07-24,16000.0
2020-07-25,15333.33
2020-07-26,16333.33
2020-07-27,16666.67
2020-07-28,16666.67
2020-07-29,18333.33
2020-07-30,18333.33
2020-07-31,19000.0
2020-08-01,19000.0
2020-08-02,19333.33
2020-08-03,20666.67
2020-08-04,18666.67
